"","Country","Year","Days.to.Start.a.Business","Days.to.Register.Property","Procedures.to.Register.Property","StartUp.Precedures.to.Register.a.Business","Cost.of.Business.Percent.of.GNI.per.capita","Tax.Payments.Number","Total.Tax.Contributions.Rate.of.Profit","Labor.Tax.and.Contributions","Other.Taxes.Rate.of.Profit","Hours.to.Prepare.and.Pay.Taxes","Time.to.Resolve.Insolvency"
"1","Australia","2003",3,NA,NA,3,2,NA,NA,NA,NA,NA,1
"2","Australia","2004",3,7,5,3,2.1,NA,NA,NA,NA,NA,1
"3","Australia","2005",3,4.5,5,3,1.9,13,52.1,23.7,2.1,107,1
"4","Australia","2006",3,4.5,5,3,1.8,12,51.1,23.7,0.7,107,1
"5","Australia","2007",3,4.5,5,3,0.8,12,50.1,22.2,0.8,107,1
"6","Australia","2008",2.5,4.5,5,3,0.8,12,50,20.9,1.7,107,1
"7","Australia","2009",2.5,4.5,5,3,0.8,11,47.8,21.1,0.7,107,1
"8","Australia","2010",2.5,4.5,5,3,0.7,11,47.6,20.9,0.7,109,1
"9","Australia","2011",2.5,4.5,5,3,0.7,11,47.3,20.5,0.7,109,1
"10","Australia","2012",2.5,4.5,5,3,0.7,11,47.2,20.4,0.7,109,1
"11","Australia","2013",2.5,4.5,5,3,0.7,11,47.3,20.8,0.4,105,1
"12","Australia","2014",2.5,4.5,5,3,0.7,11,47.4,20.9,0.4,105,1
"13","Australia","2015",2.5,4.5,5,3,0.7,11,47.6,21.1,0.4,105,1
"14","Australia","2016",2.5,4.5,5,3,0.7,11,47.6,21.1,0.4,105,1
"15","Australia","2017",2.5,4.5,5,3,0.7,11,47.5,21.1,0.4,105,1
"16","Australia","2018",2.5,4.5,5,3,0.7,11,47.4,21.1,0.3,105,1
"17","Brazil","2013",86.6,31.7,13.6,11,5.9,9.6,66.1,39.9,4,2600,4
"18","Brazil","2014",83.6,31.7,13.6,11,5.5,9.6,66,39.8,4,2600,4
"19","Brazil","2015",86,31.7,13.6,11,4.8,9.6,65.6,39.8,3.3,2600,4
"20","Brazil","2016",82.5,31.4,13.6,11,5.2,9.6,65.3,39.8,3.3,2038,4
"21","Brazil","2017",82.5,31.4,13.6,11,5,9.6,65.1,39.4,3.3,1958,4
"22","Brazil","2018",20.5,31.4,13.6,11,5,9.6,65.1,39.4,3.3,1958,4
"23","Canada","2003",3.5,NA,NA,3,0.6,NA,NA,NA,NA,NA,0.8
"24","Canada","2004",3.5,6.5,5,3,0.9,NA,NA,NA,NA,NA,0.8
"25","Canada","2005",3.5,6.5,5,3,0.9,9,47.5,12.4,7.9,119,0.8
"26","Canada","2006",3.5,6.5,5,3,0.8,9,45,12.4,7.6,119,0.8
"27","Canada","2007",3.5,6.5,5,3,0.8,9,44.3,12.3,6.6,119,0.8
"28","Canada","2008",5.5,6.5,5,2,0.4,9,44.1,12.6,6.7,119,0.8
"29","Canada","2009",5.5,6.5,5,2,0.4,9,42.3,12.5,6.6,119,0.8
"30","Canada","2010",5.5,6.5,5,2,0.4,8,22,12.6,6.2,131,0.8
"31","Canada","2011",5.5,6.5,5,2,0.4,8,20.7,12.6,6.2,131,0.8
"32","Canada","2012",5.5,6.5,5,2,0.4,8,20.1,12.7,5.2,131,0.8
"33","Canada","2013",5.5,4,5,2,0.4,8,19.9,11.9,4.9,131,0.8
"34","Canada","2014",5.5,4,5,2,0.4,8,21.1,12.5,4.7,131,0.8
"35","Canada","2015",1.5,4,5,2,0.4,8,21.1,12.7,4.5,131,0.8
"36","Canada","2016",1.5,4,5,2,0.4,8,21,12.8,4.3,131,0.8
"37","Canada","2017",1.5,4,5,2,0.4,8,20.9,12.9,4.2,131,0.8
"38","Canada","2018",1.5,4,5,2,0.3,8,20.5,12.6,4,131,0.8
"39","Switzerland","2003",20,NA,NA,6,8.9,NA,NA,NA,NA,NA,3
"40","Switzerland","2004",18,16,4,6,8.9,NA,NA,NA,NA,NA,3
"41","Switzerland","2005",18,16,4,6,9,20,28.8,16.7,2.8,63,3
"42","Switzerland","2006",18,16,4,6,2.5,19,27.6,16.7,2.1,63,3
"43","Switzerland","2007",18,16,4,6,2.4,19,27.9,17.2,2.1,63,3
"44","Switzerland","2008",18,16,4,6,2.4,19,27.8,16.7,1.9,63,3
"45","Switzerland","2009",18,16,4,6,2.3,19,28.7,16.6,2.1,63,3
"46","Switzerland","2010",18,16,4,6,2.4,19,28.8,17.5,2,63,3
"47","Switzerland","2011",18,16,4,6,2.4,19,28.9,17.6,2,63,3
"48","Switzerland","2012",18,16,4,6,2.3,19,29.4,17.8,2.1,63,3
"49","Switzerland","2013",18,16,4,6,2.3,19,28.8,17.7,1.8,63,3
"50","Switzerland","2014",10,16,4,6,2.3,19,28.8,17.7,1.8,63,3
"51","Switzerland","2015",10,16,4,6,2.3,19,28.8,17.7,1.8,63,3
"52","Switzerland","2016",10,16,4,6,2.3,19,28.8,17.7,1.8,63,3
"53","Switzerland","2017",10,16,4,6,2.3,19,28.8,17.7,1.8,63,3
"54","Switzerland","2018",10,16,4,6,2.3,19,28.8,17.7,1.8,63,3
"55","China","2013",32.4,23.5,5,11,1.9,9,68.8,49.8,8.5,318,1.7
"56","China","2014",29.4,23.5,5,9,0.9,9,68.6,49.5,8.5,261,1.7
"57","China","2015",29.4,23.5,5,9,0.7,9,67.9,48.5,8.5,261,1.7
"58","China","2016",26.9,23.5,5,7,0.7,9,68.2,48.9,8.5,259,1.7
"59","China","2017",22.9,23.5,5,7,0.6,9,67.3,48.1,8.2,207,1.7
"60","China","2018",8.6,9,3.6,4,0.4,7,64.9,45.4,8,142,1.7
"61","Germany","2003",45,NA,NA,9,6.1,NA,NA,NA,NA,NA,1.2
"62","Germany","2004",45,52,6,9,6.1,NA,NA,NA,NA,NA,1.2
"63","Germany","2005",22,52,6,9,4.9,12,47.7,22.3,4,196,1.2
"64","Germany","2006",22,52,6,9,5.3,12,47.4,21.7,4,196,1.2
"65","Germany","2007",18,52,6,9,5.8,12,49,21.7,4,196,1.2
"66","Germany","2008",17.5,52,6,9,5.8,12,49.4,22.1,4.4,196,1.2
"67","Germany","2009",17.5,52,6,9,4.9,12,43.9,22,4.4,196,1.2
"68","Germany","2010",14.5,52,6,9,5,12,47,22,1.8,215,1.2
"69","Germany","2011",14.5,52,6,9,4.8,12,45.6,21.8,4.6,221,1.2
"70","Germany","2012",14.5,52,6,9,5,9,45.9,21.9,4.6,207,1.2
"71","Germany","2013",14.5,52,6,9,5,9,49.1,21.6,4.3,218,1.2
"72","Germany","2014",14.5,52,6,9,8.9,9,48.8,21.2,4.3,218,1.2
"73","Germany","2015",10.5,52,6,9,7,9,48.8,21.2,4.3,218,1.2
"74","Germany","2016",8,52,6,9,6.8,9,48.9,21.3,4.3,218,1.2
"75","Germany","2017",8,52,6,9,7,9,48.9,21.4,4.3,218,1.2
"76","Germany","2018",8,52,6,9,6.7,9,49,21.5,4.3,218,1.2
"77","Spain","2003",138,NA,NA,10,16.8,NA,NA,NA,NA,NA,1.5
"78","Spain","2004",137,25.5,5,10,17,NA,NA,NA,NA,NA,1.5
"79","Spain","2005",70,20.5,5,10,16.5,8,60.4,36.3,0.6,298,1.5
"80","Spain","2006",60,13.5,5,10,16.2,8,60.5,36.4,0.6,298,1.5
"81","Spain","2007",60,13.5,5,10,15.1,9,60.7,36.5,0.7,298,1.5
"82","Spain","2008",61,13.5,5,10,14.9,9,58.8,36.2,0.7,234,1.5
"83","Spain","2009",61,13.5,5,10,15,9,55.8,34.2,0.8,213,1.5
"84","Spain","2010",52,13.5,5,10,15.1,9,55.3,33.7,0.9,197,1.5
"85","Spain","2011",29,13.5,6,10,4.7,9,37.6,35.5,0.9,187,1.5
"86","Spain","2012",30,13.5,6,11,5,9,37.6,35.5,0.9,167,1.5
"87","Spain","2013",24,13.5,6,11,5,9,56.9,35.2,0.9,167,1.5
"88","Spain","2014",14,13,6,7,4.5,9,57.9,35.4,0.9,167,1.5
"89","Spain","2015",14,13,6,7,4.4,9,49.8,35.6,0.8,158,1.5
"90","Spain","2016",13,13,6,7,4.3,8,48.7,35.6,0.7,152,1.5
"91","Spain","2017",13,13,6,7,4.1,9,46.9,35.6,0.7,152,1.5
"92","Spain","2018",12.5,13,6,7,4,9,47,35.7,0.7,147.5,1.5
"93","France","2003",41,NA,NA,8,1.4,NA,NA,NA,NA,NA,1.9
"94","France","2004",7,182,9,5,1.1,NA,NA,NA,NA,NA,1.9
"95","France","2005",7,182,9,5,1.2,21,68.3,51.8,9.7,132,1.9
"96","France","2006",7,182,9,5,1.1,21,68.2,51.8,9.7,132,1.9
"97","France","2007",7,122,9,5,1.1,21,68.3,52.1,9.7,132,1.9
"98","France","2008",6.5,113,9,5,1,9,67.7,51.3,9.7,132,1.9
"99","France","2009",6.5,113,8,5,0.9,9,68,51.7,9.7,132,1.9
"100","France","2010",6.5,74,8,5,0.9,9,68,51.7,9.7,132,1.9
"101","France","2011",6.5,74,8,5,0.9,9,68,51.7,9.6,132,1.9
"102","France","2012",6.5,74,8,5,0.9,9,69.7,51.7,12.2,132,1.9
"103","France","2013",6.5,74,8,5,0.9,9,69.8,51.7,11.9,137,1.9
"104","France","2014",4.5,64,8,5,0.9,9,71.3,54,11.9,137,1.9
"105","France","2015",4,64,8,5,0.8,9,64.9,53.5,11.7,137,1.9
"106","France","2016",3.5,64,8,5,0.7,9,64.1,53.5,10.4,139,1.9
"107","France","2017",3.5,64,8,5,0.7,9,62.6,51.1,10.5,139,1.9
"108","France","2018",3.5,42,8,5,0.7,9,60.4,49.7,10.5,139,1.9
"109","United Kingdom","2003",13,NA,NA,6,1,NA,NA,NA,NA,NA,1
"110","United Kingdom","2004",13,41.5,6,6,0.9,NA,NA,NA,NA,NA,1
"111","United Kingdom","2005",12,41.5,6,6,0.7,8,34.7,11.4,1.5,100,1
"112","United Kingdom","2006",10.5,41.5,6,6,0.7,8,34.6,11.3,1.5,100,1
"113","United Kingdom","2007",10.5,41.5,6,6,0.8,8,34.6,11.3,1.5,100,1
"114","United Kingdom","2008",10.5,41.5,6,6,0.8,8,34.2,11.2,1.5,100,1
"115","United Kingdom","2009",10.5,28.5,6,6,0.7,8,34.9,11,1.6,105,1
"116","United Kingdom","2010",11.5,28.5,6,6,0.7,8,36.1,10.8,1.7,105,1
"117","United Kingdom","2011",11.5,28.5,6,6,0.7,8,36.2,11,1.6,105,1
"118","United Kingdom","2012",11.5,28.5,6,6,0.7,8,35,10.9,1.7,105,1
"119","United Kingdom","2013",11.5,21.5,6,6,0.3,8,34.7,11.4,1.5,105,1
"120","United Kingdom","2014",6,21.5,6,6,0.3,8,33.5,11.3,1.6,105,1
"121","United Kingdom","2015",4.5,21.5,6,4,0.1,8,32,11.2,1.6,105,1
"122","United Kingdom","2016",4.5,21.5,6,4,0.1,8,30.9,10.9,1.6,105,1
"123","United Kingdom","2017",4.5,21.5,6,4,0,8,30.7,10.9,1.7,105,1
"124","United Kingdom","2018",4.5,21.5,6,4,0,8,30,10.8,1.9,105,1
"125","Indonesia","2013",75.5,27.6,5,11,21.9,65,32.2,10.8,0.2,259,1.1
"126","Indonesia","2014",52.5,27.6,5,12,21.1,65,31.4,11.3,0.4,253.5,1.1
"127","Indonesia","2015",47.8,27.6,5,12,19.9,54,29.7,9.2,0.4,234,1.1
"128","Indonesia","2016",24.9,27.6,5,11,19.4,43,30.6,10.3,0.4,221,1.1
"129","Indonesia","2017",23.1,27.6,5,11,10.9,43,30,11.5,0.4,207.5,1.1
"130","Indonesia","2018",19.6,27.6,5,10,6.1,43,30.1,11.6,0.4,207.5,1.1
"131","India","2013",32.7,63.1,8,15,41.5,41.1,55.7,20.8,11.2,252.9,4.3
"132","India","2014",35,62.9,8,15,16.4,41.1,55.5,20.8,11.3,252.9,4.3
"133","India","2015",30,62.9,8,14,14.5,41.1,55.5,20.8,11.3,252.9,4.3
"134","India","2016",28.5,69.1,9,14,14,33.1,56.2,20.5,12.1,250.9,4.3
"135","India","2017",29.8,69.1,9,12,15,13.9,56.2,20.5,12.2,215.9,4.3
"136","India","2018",16.5,69.1,9,10,14.4,11.9,52.1,20.3,10.1,275.4,4.3
"137","Italy","2003",23,NA,NA,9,22.1,NA,NA,NA,NA,NA,1.8
"138","Italy","2004",13,25,5,9,21.4,NA,NA,NA,NA,NA,1.8
"139","Italy","2005",13,25,5,9,20.7,14,76.7,45.1,0.9,340,1.8
"140","Italy","2006",13,25,5,9,20,14,75.3,43.2,0.9,340,1.8
"141","Italy","2007",13,25,5,9,18.7,14,75.3,43.2,0.9,340,1.8
"142","Italy","2008",10,25,5,6,18.5,14,72.5,43.2,0.9,314,1.8
"143","Italy","2009",10.5,25,5,7,18,14,67.6,43.4,0.9,314,1.8
"144","Italy","2010",6.5,25,5,7,18.7,14,67.6,43.4,0.9,285,1.8
"145","Italy","2011",6.5,25,5,7,18.4,14,67.6,43.4,0.9,285,1.8
"146","Italy","2012",7.5,25,5,7,16.7,13,67.6,43.4,0.9,269,1.8
"147","Italy","2013",7.5,16,4,7,14.7,13,65.6,43.4,1.8,269,1.8
"148","Italy","2014",6.5,16,4,6,14.8,13,65.2,43.4,1.8,269,1.8
"149","Italy","2015",6,16,4,6,14.4,14,64.8,43.4,1.9,269,1.8
"150","Italy","2016",6,16,4,6,14.3,14,62,43.4,1.6,240,1.8
"151","Italy","2017",6,16,4,6,14.1,14,48,23.2,1.6,238,1.8
"152","Italy","2018",6,16,4,6,14.1,14,53.1,34.8,1.6,238,1.8
"153","Japan","2013",11.7,13,6,8,7.5,29,48.7,18,4.2,199.5,0.6
"154","Japan","2014",11.2,13,6,8,7.5,30,50.3,18.1,4.2,199.5,0.6
"155","Japan","2015",11.2,13,6,8,7.5,30,50.4,18.2,4.1,182.5,0.6
"156","Japan","2016",11.2,13,6,8,7.5,30,48.8,18.4,4.1,129.5,0.6
"157","Japan","2017",11.2,13,6,8,7.5,30,47.4,18.5,4.1,129.5,0.6
"158","Japan","2018",11.2,13,6,8,7.5,30,46.7,18.6,4.1,129.5,0.6
"159","Korea, Rep.","2003",17,NA,NA,10,18.4,NA,NA,NA,NA,NA,1.5
"160","Korea, Rep.","2004",17,10,7,10,15.7,NA,NA,NA,NA,NA,1.5
"161","Korea, Rep.","2005",17,10,7,10,15.7,15,36.8,12.2,1.8,290,1.5
"162","Korea, Rep.","2006",17,9.5,7,10,18.2,15,32.5,12.2,1.8,290,1.5
"163","Korea, Rep.","2007",17,9.5,7,10,17.1,15,31.6,11.4,1.7,290,1.5
"164","Korea, Rep.","2008",17,9.5,7,10,16.9,15,33.9,13.4,1.7,250,1.5
"165","Korea, Rep.","2009",14,9,7,8,14.7,15,32.3,13.2,1.7,250,1.5
"166","Korea, Rep.","2010",14,9,7,8,14.7,15,30.2,12.9,1.7,250,1.5
"167","Korea, Rep.","2011",7,9,7,5,14.6,13,34.1,13.2,1.7,225,1.5
"168","Korea, Rep.","2012",4,9,7,3,14.6,11,34,13.4,1.4,207,1.5
"169","Korea, Rep.","2013",4,9,7,3,14.6,11,33.4,13.6,1.4,187,1.5
"170","Korea, Rep.","2014",4,7,7,3,14.5,11,33.2,13.6,1.4,187,1.5
"171","Korea, Rep.","2015",4,6.5,7,3,14.5,12,33.2,13.6,1.4,188,1.5
"172","Korea, Rep.","2016",4,5.5,7,2,14.6,12,33.1,13.6,1.4,188,1.5
"173","Korea, Rep.","2017",4,5.5,7,2,14.6,12,33.1,13.5,1.4,188,1.5
"174","Korea, Rep.","2018",4,5.5,7,2,14.6,12,33.1,13.5,1.4,188,1.5
"175","Mexico","2013",8.4,66.2,7.7,7,18.6,6,51.7,25.8,0.9,288.5,1.8
"176","Mexico","2014",8.4,65.3,7.7,7,18.8,6,51.8,25.9,0.9,288.5,1.8
"177","Mexico","2015",8.4,65.3,7.7,7,18.1,6,51.9,25.4,0.9,240.5,1.8
"178","Mexico","2016",8.4,42.1,7.7,8,17.8,6,52,25.5,0.9,240.5,1.8
"179","Mexico","2017",8.4,38.8,7.7,8,17,6,52.1,25.6,0.9,240.5,1.8
"180","Mexico","2018",8.4,38.8,7.7,8,16.2,6,53,26.9,0.9,240.5,1.8
"181","Netherlands","2003",9,NA,NA,7,13.3,NA,NA,NA,NA,NA,1.1
"182","Netherlands","2004",9,5.5,5,7,13.2,NA,NA,NA,NA,NA,1.1
"183","Netherlands","2005",9,5.5,5,7,13,20,47.7,18,0.2,250,1.1
"184","Netherlands","2006",8,5.5,5,6,7.2,20,44.6,17.2,0.2,250,1.1
"185","Netherlands","2007",8,5.5,5,6,6,9,41.8,15.8,0.2,180,1.1
"186","Netherlands","2008",8,5.5,5,6,5.9,9,38.2,15.9,0.2,180,1.1
"187","Netherlands","2009",8,5.5,5,6,5.6,9,38.5,17.3,0.2,164,1.1
"188","Netherlands","2010",8,5.5,5,6,5.7,9,39.4,17.9,0.2,131,1.1
"189","Netherlands","2011",8,5.5,5,6,5.5,9,39.6,18.1,0.2,124,1.1
"190","Netherlands","2012",5,5.5,5,5,5.1,9,39.2,18.1,0.3,124,1.1
"191","Netherlands","2013",4,2.5,5,4,5.2,9,39.5,18.4,0.3,120,1.1
"192","Netherlands","2014",3.5,2.5,5,4,5,9,39,17.6,0.4,120,1.1
"193","Netherlands","2015",3.5,2.5,5,4,4.6,9,41,20.2,0.4,120,1.1
"194","Netherlands","2016",3.5,2.5,5,4,4.5,9,40.4,19.4,0.4,119,1.1
"195","Netherlands","2017",3.5,2.5,5,4,4.4,9,40.7,19.8,0.4,119,1.1
"196","Netherlands","2018",3.5,2.5,5,4,4.2,9,40.8,19.9,0.4,119,1.1
"197","Russian Federation","2013",13.2,23,5,6,1.5,7,48.7,35.2,5,177,2
"198","Russian Federation","2014",11.5,20,4,5,1.4,7,48.9,35.4,5.1,168,2
"199","Russian Federation","2015",10.8,16,4,5,1.4,7,47,35.6,2.5,168,2
"200","Russian Federation","2016",10.1,16,4,4,1.2,7,47.4,36.1,2.5,168,2
"201","Russian Federation","2017",10.1,13,4,4,1.1,7,47.5,36.3,2.5,168,2
"202","Russian Federation","2018",10.1,13,4,4,1.1,7,46.3,36.4,2.5,168,2
"203","Saudi Arabia","2003",81.3,NA,NA,19,70.7,NA,NA,NA,NA,NA,NA
"204","Saudi Arabia","2004",81.3,8,5,19,64.9,NA,NA,NA,NA,NA,NA
"205","Saudi Arabia","2005",74.3,8,5,19,72,14,14.9,12.4,0,69,NA
"206","Saudi Arabia","2006",49.3,8,5,19,70.4,14,14.6,12.4,0,79,NA
"207","Saudi Arabia","2007",27.3,8,5,13,30.2,14,14.6,12.4,0,79,NA
"208","Saudi Arabia","2008",27.3,8,5,13,18,14,14.6,12.4,0,79,NA
"209","Saudi Arabia","2009",27.3,8,5,14,7.9,14,14.7,12.4,0,79,NA
"210","Saudi Arabia","2010",27.3,8,5,14,10.2,14,14.7,12.4,0,79,NA
"211","Saudi Arabia","2011",27.3,8,5,14,8.8,14,14.7,12.4,0,79,NA
"212","Saudi Arabia","2012",24.3,8,5,14,7,3,14.7,12.4,0,72,NA
"213","Saudi Arabia","2013",24.8,8,5,14,6.9,3,14.6,12.4,0,72,NA
"214","Saudi Arabia","2014",24.8,8,5,14,5.6,3,14.6,12.4,0,64,NA
"215","Saudi Arabia","2015",23.3,6,3,14,5.7,3,15,12.8,0,64,NA
"216","Saudi Arabia","2016",19.3,3,3,14,6,3,15.7,13.5,0,67,NA
"217","Saudi Arabia","2017",17.8,1.5,2,11,6.8,3,15.7,13.5,0,47,NA
"218","Saudi Arabia","2018",17.8,1.5,2,11,6.6,3,15.7,13.5,0,39,NA
"219","Turkey","2003",40,NA,NA,15,36.8,NA,NA,NA,NA,NA,3.3
"220","Turkey","2004",10.5,7,7,10,26,NA,NA,NA,NA,NA,3.3
"221","Turkey","2005",10.5,7,7,10,28.7,10,46.1,25,2.2,254,3.3
"222","Turkey","2006",10.5,7,7,10,27.7,10,45.7,25,2.2,254,3.3
"223","Turkey","2007",10.5,7,7,10,21.8,10,44.9,25,2.3,223,3.3
"224","Turkey","2008",10.5,7,7,10,15.6,10,44.6,25,2.3,223,3.3
"225","Turkey","2009",10.5,7,7,10,14.8,10,43.5,23.5,2.4,223,3.3
"226","Turkey","2010",10.5,7,7,10,17.8,10,43.5,23.5,2.4,226,3.3
"227","Turkey","2011",10.5,7,7,10,18.1,10,40.1,19.2,2.6,226,3.3
"228","Turkey","2012",10.5,7,7,10,17.6,10,40.2,19.2,2.6,226,3.3
"229","Turkey","2013",10.5,7,7,10,19.3,10,39.9,19.2,2.2,226,3.3
"230","Turkey","2014",11,6,6,11,22.5,10,40.2,19.6,2.4,226,3.3
"231","Turkey","2015",11,6,6,11,22.2,10,40.6,20.3,2.4,226,4.5
"232","Turkey","2016",10,6,6,10,21.8,10,41,20.3,2.4,216.5,4.5
"233","Turkey","2017",10,6,6,10,15.9,10,40.9,20.3,2.4,215.5,5
"234","Turkey","2018",7,5,6,7,10.6,10,40.9,20.3,2.5,170,5
"235","United States","2013",6.2,15.2,4.4,6,1.2,10.6,43.8,9.7,5.9,175,1
"236","United States","2014",5.6,15.2,4.4,6,1.2,10.6,43.8,9.7,6,175,1
"237","United States","2015",5.6,15.2,4.4,6,1.1,10.6,43.9,9.8,6,175,1
"238","United States","2016",5.6,15.2,4.4,6,1.1,10.6,44,9.8,6.1,175,1
"239","United States","2017",5.6,15.2,4.4,6,1.1,10.6,43.8,9.8,6.1,175,1
"240","United States","2018",5.6,15.2,4.4,6,1,10.6,43.8,9.8,6.1,175,1
