"","Country","Year","Total.Gov.Education.Invest.Percent.of.GDP","Total.Gov.Exp.Percent.of.TotalExpenses","Expenditure.Per.Primary.Student","Expenditure.Per.Secondary.Student","Expenditure.Per.Tertiary.Student","Literacy.Rate.Adults","Popul.Between.0.and.14","School.Enrollment.Primary","School.Enrollment.Secondary","School.Enrollment.Tertiary"
"1","Australia","1960",NA,NA,NA,NA,NA,NA,30.181,NA,NA,NA
"2","Australia","1961",NA,NA,NA,NA,NA,NA,30.254,NA,NA,NA
"3","Australia","1962",NA,NA,NA,NA,NA,NA,30.166,NA,NA,NA
"4","Australia","1963",NA,NA,NA,NA,NA,NA,29.977,NA,NA,NA
"5","Australia","1964",NA,NA,NA,NA,NA,NA,29.779,NA,NA,NA
"6","Australia","1965",NA,NA,NA,NA,NA,NA,29.621,NA,NA,NA
"7","Australia","1966",NA,NA,NA,NA,NA,NA,29.508,NA,NA,NA
"8","Australia","1967",NA,NA,NA,NA,NA,NA,29.415,NA,NA,NA
"9","Australia","1968",NA,NA,NA,NA,NA,NA,29.355,NA,NA,NA
"10","Australia","1969",NA,NA,NA,NA,NA,NA,29.286,NA,NA,NA
"11","Australia","1970",NA,NA,NA,NA,NA,NA,29.156,NA,81.093,15.817
"12","Australia","1971",NA,NA,NA,NA,NA,NA,28.876,111.198,NA,17.094
"13","Australia","1972",NA,NA,NA,NA,NA,NA,28.598,110.644,NA,18.383
"14","Australia","1973",NA,NA,NA,NA,NA,NA,28.302,110,NA,19.59
"15","Australia","1974",NA,NA,NA,NA,NA,NA,27.954,105.237,NA,21.817
"16","Australia","1975",NA,NA,NA,NA,NA,NA,27.534,108.184,NA,23.282
"17","Australia","1976",NA,NA,NA,NA,NA,NA,27.236,109.157,NA,24.075
"18","Australia","1977",NA,NA,NA,NA,NA,NA,26.761,111.218,NA,24.437
"19","Australia","1978",6.01,NA,NA,NA,NA,NA,26.205,112.327,NA,24.781
"20","Australia","1979",5.898,NA,NA,NA,NA,NA,25.698,111.899,NA,25.004
"21","Australia","1980",5.655,NA,NA,NA,NA,NA,25.301,111.072,NA,25.155
"22","Australia","1981",NA,NA,NA,NA,NA,NA,24.778,109.699,NA,25.585
"23","Australia","1982",5.481,NA,NA,NA,NA,NA,24.448,108.577,NA,25.641
"24","Australia","1983",5.373,NA,NA,NA,NA,NA,24.223,107.215,NA,26.362
"25","Australia","1984",NA,NA,NA,NA,NA,NA,23.966,106.436,NA,27.005
"26","Australia","1985",5.407,NA,NA,NA,NA,NA,23.623,104.89,NA,27.911
"27","Australia","1986",5.282,NA,NA,NA,NA,NA,23.407,105.438,NA,29.515
"28","Australia","1987",5.072,NA,NA,NA,NA,NA,23.058,105.86,NA,29.685
"29","Australia","1988",4.919,13.25,NA,NA,NA,NA,22.656,106.489,NA,31.5
"30","Australia","1989",4.748,13.351,NA,NA,NA,NA,22.318,106.685,NA,32.654
"31","Australia","1990",4.676,13.592,NA,NA,NA,NA,22.089,106.372,NA,35.36
"32","Australia","1991",4.794,14.065,NA,NA,NA,NA,21.883,106.097,NA,38.313
"33","Australia","1992",4.692,13.204,NA,NA,NA,NA,21.784,105.974,NA,39.701
"34","Australia","1993",5.517,15.017,NA,NA,NA,NA,21.744,105.877,134.355,65.564
"35","Australia","1994",5.255,14.297,NA,NA,NA,NA,21.684,105.83,132.618,66.979
"36","Australia","1995",5.144,14.77,15.686,16.032,26.575,NA,21.57,101.291,143.234,70.689
"37","Australia","1996",5.241,14.246,NA,NA,NA,NA,21.478,101.58,148.636,75.648
"38","Australia","1997",NA,NA,NA,NA,NA,NA,21.342,101.184,152.936,80.907
"39","Australia","1998",NA,NA,NA,NA,NA,NA,21.18,100.929,NA,NA
"40","Australia","1999",NA,NA,NA,NA,NA,NA,21.024,100.659,NA,NA
"41","Australia","2000",4.894,13.36,16.754,NA,NA,NA,20.882,100.722,NA,NA
"42","Australia","2001",NA,NA,NA,NA,NA,NA,20.657,100.64,NA,NA
"43","Australia","2002",NA,NA,NA,NA,NA,NA,20.436,101.549,NA,NA
"44","Australia","2003",NA,NA,NA,NA,NA,NA,20.22,101.674,NA,NA
"45","Australia","2004",NA,NA,NA,NA,NA,NA,20.009,102.264,NA,NA
"46","Australia","2005",4.916,13.585,17.94,NA,NA,NA,19.815,102.739,NA,NA
"47","Australia","2006",4.754,13.178,17.745,NA,NA,NA,19.59,103.304,NA,NA
"48","Australia","2007",4.667,13.03,17.309,NA,NA,NA,19.401,105.183,NA,NA
"49","Australia","2008",4.644,12.6,17.674,NA,NA,NA,19.258,105.141,NA,NA
"50","Australia","2009",5.093,13.415,19.949,NA,NA,NA,19.143,105.302,NA,NA
"51","Australia","2010",5.559,14.328,22.372,NA,NA,NA,19.032,105.619,NA,NA
"52","Australia","2011",5.083,13.502,20.003,NA,NA,NA,19.036,105.69,NA,NA
"53","Australia","2012",4.878,13.184,18.173,16.118,19.1,NA,18.986,105.984,NA,NA
"54","Australia","2013",5.238,14.04,18.686,16.802,22.32,NA,18.921,105.994,NA,NA
"55","Australia","2014",5.174,13.883,18.273,16.576,21.895,NA,18.883,105.457,NA,NA
"56","Australia","2015",5.322,14.076,18.819,17.168,21.506,NA,18.887,101.6,157.168,118.611
"57","Australia","2016",5.28,13.766,19.334,15.006,17.859,NA,18.952,100.744,153.013,120.966
"58","Australia","2017",NA,NA,NA,NA,NA,NA,19.065,100.339,150.311,113.142
"59","Australia","2018",NA,NA,NA,NA,NA,NA,19.191,NA,NA,NA
"60","Brazil","1960",NA,NA,NA,NA,NA,NA,43.166,NA,NA,NA
"61","Brazil","1961",NA,NA,NA,NA,NA,NA,43.329,NA,NA,NA
"62","Brazil","1962",NA,NA,NA,NA,NA,NA,43.454,NA,NA,NA
"63","Brazil","1963",NA,NA,NA,NA,NA,NA,43.521,NA,NA,NA
"64","Brazil","1964",NA,NA,NA,NA,NA,NA,43.502,NA,NA,NA
"65","Brazil","1965",NA,NA,NA,NA,NA,NA,43.385,NA,NA,NA
"66","Brazil","1966",NA,NA,NA,NA,NA,NA,43.345,NA,NA,NA
"67","Brazil","1967",NA,NA,NA,NA,NA,NA,43.162,NA,NA,NA
"68","Brazil","1968",NA,NA,NA,NA,NA,NA,42.881,NA,NA,NA
"69","Brazil","1969",NA,NA,NA,NA,NA,NA,42.557,NA,NA,NA
"70","Brazil","1970",NA,NA,NA,NA,NA,NA,42.212,NA,NA,NA
"71","Brazil","1971",NA,NA,NA,NA,NA,NA,41.864,NA,NA,NA
"72","Brazil","1972",NA,NA,NA,NA,NA,NA,41.502,NA,NA,NA
"73","Brazil","1973",NA,NA,NA,NA,NA,NA,41.118,NA,NA,NA
"74","Brazil","1974",NA,NA,NA,NA,NA,NA,40.699,NA,NA,NA
"75","Brazil","1975",NA,NA,NA,NA,NA,NA,40.25,NA,NA,NA
"76","Brazil","1976",NA,NA,NA,NA,NA,NA,39.832,NA,NA,NA
"77","Brazil","1977",NA,NA,NA,NA,NA,NA,39.415,NA,NA,NA
"78","Brazil","1978",NA,NA,NA,NA,NA,NA,38.998,NA,NA,NA
"79","Brazil","1979",NA,NA,NA,NA,NA,NA,38.588,NA,NA,NA
"80","Brazil","1980",NA,NA,NA,NA,NA,74.587,38.191,NA,NA,NA
"81","Brazil","1981",NA,NA,NA,NA,NA,NA,37.929,NA,NA,NA
"82","Brazil","1982",NA,NA,NA,NA,NA,NA,37.647,NA,NA,NA
"83","Brazil","1983",NA,NA,NA,NA,NA,NA,37.359,NA,NA,NA
"84","Brazil","1984",NA,NA,NA,NA,NA,NA,37.07,NA,NA,NA
"85","Brazil","1985",NA,NA,NA,NA,NA,NA,36.771,NA,NA,NA
"86","Brazil","1986",NA,NA,NA,NA,NA,NA,36.529,NA,NA,NA
"87","Brazil","1987",NA,NA,NA,NA,NA,NA,36.235,NA,NA,NA
"88","Brazil","1988",NA,NA,NA,NA,NA,NA,35.901,NA,NA,NA
"89","Brazil","1989",NA,NA,NA,NA,NA,NA,35.541,NA,NA,NA
"90","Brazil","1990",NA,NA,NA,NA,NA,NA,35.159,NA,NA,NA
"91","Brazil","1991",NA,NA,NA,NA,NA,NA,34.694,NA,NA,NA
"92","Brazil","1992",NA,NA,NA,NA,NA,NA,34.248,NA,NA,NA
"93","Brazil","1993",NA,NA,NA,NA,NA,NA,33.792,NA,NA,NA
"94","Brazil","1994",NA,NA,NA,NA,NA,NA,33.295,NA,NA,NA
"95","Brazil","1995",4.568,NA,NA,NA,NA,NA,32.751,NA,NA,NA
"96","Brazil","1996",NA,NA,NA,NA,NA,NA,32.226,NA,NA,NA
"97","Brazil","1997",NA,NA,NA,NA,NA,NA,31.667,NA,NA,NA
"98","Brazil","1998",4.757,11.63,NA,NA,78.747,NA,31.086,NA,NA,NA
"99","Brazil","1999",3.801,9.6,10.653,NA,56.298,NA,30.507,165.645,NA,16.084
"100","Brazil","2000",3.949,11.452,10.576,NA,54.936,86.368,29.938,NA,NA,NA
"101","Brazil","2001",3.845,10.611,10.393,NA,47.201,NA,29.442,150.786,NA,18.154
"102","Brazil","2002",3.75,9.637,9.832,10.18,44.493,NA,28.92,146.828,109.994,20.696
"103","Brazil","2003",NA,NA,NA,NA,NA,NA,28.391,140.544,101.869,23.217
"104","Brazil","2004",3.974,10.394,12.74,11.49,32.495,88.616,27.87,133.696,102.371,24.491
"105","Brazil","2005",4.479,11.257,15.261,13.061,34.781,NA,27.362,133.262,101.292,25.99
"106","Brazil","2006",4.871,12.423,NA,NA,NA,89.615,26.829,NA,NA,NA
"107","Brazil","2007",4.974,13.219,17.001,17.709,29.143,90.009,26.324,128.18,95.17,30.787
"108","Brazil","2008",5.269,14.082,18.22,19.163,27.151,90.037,25.832,132.055,96.72,35.562
"109","Brazil","2009",5.464,14.724,19.756,20.113,27.841,90.298,25.333,131.165,96.665,37.038
"110","Brazil","2010",5.649,14.56,20.614,21.094,27.819,90.379,24.823,NA,NA,NA
"111","Brazil","2011",5.737,15.269,20.249,21.98,27.577,91.411,24.315,132.497,95.263,43.46
"112","Brazil","2012",5.855,15.728,19.67,19.793,28.059,91.338,23.819,134.52,92.992,44.966
"113","Brazil","2013",5.839,15.593,19.797,20.714,30.021,91.484,23.336,113.92,102.069,46.817
"114","Brazil","2014",5.948,15.637,19.59,20.715,29.006,91.729,22.867,114.255,100.838,49.914
"115","Brazil","2015",6.241,16.149,20.201,21.683,33.284,92.048,22.421,112.773,100.067,51.054
"116","Brazil","2016",NA,NA,NA,NA,NA,92.808,22.05,113.945,101.536,50.489
"117","Brazil","2017",NA,NA,NA,NA,NA,93.076,21.684,115.448,100.828,51.344
"118","Brazil","2018",NA,NA,NA,NA,NA,93.228,21.334,NA,NA,NA
"119","Canada","1960",NA,NA,NA,NA,NA,NA,33.727,NA,NA,NA
"120","Canada","1961",NA,NA,NA,NA,NA,NA,33.85,NA,NA,NA
"121","Canada","1962",NA,NA,NA,NA,NA,NA,33.86,NA,NA,NA
"122","Canada","1963",NA,NA,NA,NA,NA,NA,33.765,NA,NA,NA
"123","Canada","1964",NA,NA,NA,NA,NA,NA,33.575,NA,NA,NA
"124","Canada","1965",NA,NA,NA,NA,NA,NA,33.291,NA,NA,NA
"125","Canada","1966",NA,NA,NA,NA,NA,NA,32.854,NA,NA,NA
"126","Canada","1967",NA,NA,NA,NA,NA,NA,32.27,NA,NA,NA
"127","Canada","1968",NA,NA,NA,NA,NA,NA,31.585,NA,NA,NA
"128","Canada","1969",NA,NA,NA,NA,NA,NA,30.86,NA,NA,NA
"129","Canada","1970",NA,NA,NA,NA,NA,NA,30.13,NA,NA,NA
"130","Canada","1971",7.71,NA,NA,NA,NA,NA,29.271,102.732,96.209,NA
"131","Canada","1972",7.615,NA,NA,NA,NA,NA,28.5,100.71,95.711,NA
"132","Canada","1973",7.037,NA,NA,NA,NA,NA,27.766,98.595,94.231,NA
"133","Canada","1974",6.69,NA,NA,NA,NA,NA,26.997,97.232,92.21,NA
"134","Canada","1975",6.443,NA,NA,NA,NA,NA,26.172,98.094,91.747,NA
"135","Canada","1976",6.721,NA,NA,NA,NA,NA,25.507,98.391,90.752,48.039
"136","Canada","1977",6.734,NA,NA,NA,NA,NA,24.762,99.007,90.364,NA
"137","Canada","1978",7.098,NA,NA,NA,NA,NA,24.001,99.552,89.385,NA
"138","Canada","1979",6.715,NA,NA,NA,NA,NA,23.317,99.635,88.27,NA
"139","Canada","1980",6.485,NA,NA,NA,NA,NA,22.756,99.714,87.463,NA
"140","Canada","1981",6.431,15.579,NA,NA,NA,NA,22.307,99.474,88.275,NA
"141","Canada","1982",6.519,15.532,NA,NA,NA,NA,21.959,105.225,92.343,NA
"142","Canada","1983",6.88,14.775,NA,NA,NA,NA,21.697,104.64,94.985,NA
"143","Canada","1984",6.644,14.091,NA,NA,NA,NA,21.478,104.07,98.1,NA
"144","Canada","1985",6.213,13.237,NA,NA,NA,NA,21.28,103.787,99.098,NA
"145","Canada","1986",6.044,12.683,NA,NA,NA,NA,21.142,104.025,99.185,70.592
"146","Canada","1987",6.324,13.456,NA,NA,NA,NA,21.011,103.957,99.109,NA
"147","Canada","1988",6.176,13.539,NA,NA,NA,NA,20.888,104.006,99.38,NA
"148","Canada","1989",6.098,13.57,NA,NA,NA,NA,20.782,104.268,99.636,83.089
"149","Canada","1990",5.992,13.191,NA,NA,NA,NA,20.692,104.282,99.802,90.528
"150","Canada","1991",6.884,14.264,NA,NA,NA,NA,20.653,104.442,101.408,95.549
"151","Canada","1992",6.771,13.116,NA,NA,NA,NA,20.633,103.674,102.714,97.61
"152","Canada","1993",7.704,14.623,NA,NA,NA,NA,20.602,102.697,104.606,88.221
"153","Canada","1994",6.68,12.934,NA,NA,NA,NA,20.522,101.9,105.766,90.097
"154","Canada","1995",6.324,12.864,NA,NA,NA,NA,20.377,101.81,105.152,90.542
"155","Canada","1996",NA,NA,NA,NA,NA,NA,20.257,102.813,105.477,89.214
"156","Canada","1997",NA,NA,NA,NA,NA,NA,20.041,NA,NA,NA
"157","Canada","1998",5.512,12.64,NA,NA,42.966,NA,19.758,99.822,105.604,59.502
"158","Canada","1999",5.55,12.742,NA,NA,NA,NA,19.456,100.257,102.376,60.252
"159","Canada","2000",5.442,12.983,NA,NA,NA,NA,19.164,100.789,101.923,59.114
"160","Canada","2001",4.97,12.212,NA,NA,NA,NA,18.837,NA,NA,NA
"161","Canada","2002",5.011,12.148,NA,NA,NA,NA,18.547,NA,NA,59.547
"162","Canada","2003",NA,NA,NA,NA,NA,NA,18.27,NA,NA,NA
"163","Canada","2004",NA,NA,NA,NA,NA,NA,17.98,98.477,NA,NA
"164","Canada","2005",4.782,12.178,NA,NA,NA,NA,17.676,97.365,101.391,NA
"165","Canada","2006",NA,NA,NA,NA,NA,NA,17.401,98.881,101.728,NA
"166","Canada","2007",4.78,12.329,NA,NA,40.284,NA,17.136,98.966,101.903,63.6
"167","Canada","2008",4.638,12.01,NA,NA,36.358,NA,16.892,98.013,102.344,63.767
"168","Canada","2009",4.853,12.484,NA,NA,40.197,NA,16.676,99.009,102.734,63.066
"169","Canada","2010",5.37,12.336,NA,NA,44.685,NA,16.489,98.642,102.398,61.656
"170","Canada","2011",5.274,12.219,NA,18.329,43.077,NA,16.415,98.189,103.349,63.467
"171","Canada","2012",NA,NA,NA,NA,NA,NA,16.297,99.518,109.987,63.981
"172","Canada","2013",NA,NA,NA,NA,29.684,NA,16.167,100.341,109.486,65.332
"173","Canada","2014",NA,NA,NA,NA,37.072,NA,16.062,101.537,109.333,65.613
"174","Canada","2015",NA,NA,17.616,NA,37.036,NA,15.991,102.485,110.356,64.787
"175","Canada","2016",NA,NA,NA,NA,31.554,NA,15.898,101.024,112.514,66.439
"176","Canada","2017",NA,NA,NA,NA,NA,NA,15.87,100.944,113.763,68.923
"177","Canada","2018",NA,NA,NA,NA,NA,NA,15.87,NA,NA,NA
"178","Switzerland","1960",NA,NA,NA,NA,NA,NA,24.117,NA,NA,NA
"179","Switzerland","1961",NA,NA,NA,NA,NA,NA,24.293,NA,NA,NA
"180","Switzerland","1962",NA,NA,NA,NA,NA,NA,24.33,NA,NA,NA
"181","Switzerland","1963",NA,NA,NA,NA,NA,NA,24.27,NA,NA,NA
"182","Switzerland","1964",NA,NA,NA,NA,NA,NA,24.164,NA,NA,NA
"183","Switzerland","1965",NA,NA,NA,NA,NA,NA,24.034,NA,NA,NA
"184","Switzerland","1966",NA,NA,NA,NA,NA,NA,24.007,NA,NA,NA
"185","Switzerland","1967",NA,NA,NA,NA,NA,NA,23.96,NA,NA,NA
"186","Switzerland","1968",NA,NA,NA,NA,NA,NA,23.899,NA,NA,NA
"187","Switzerland","1969",NA,NA,NA,NA,NA,NA,23.813,NA,NA,NA
"188","Switzerland","1970",NA,NA,NA,NA,NA,NA,23.689,NA,NA,NA
"189","Switzerland","1971",NA,NA,NA,NA,NA,NA,23.601,NA,NA,10.044
"190","Switzerland","1972",NA,NA,NA,NA,NA,NA,23.457,NA,NA,10.58
"191","Switzerland","1973",NA,NA,NA,NA,NA,NA,23.256,93.835,NA,11.371
"192","Switzerland","1974",NA,NA,NA,NA,NA,NA,22.987,93.206,NA,12.43
"193","Switzerland","1975",NA,NA,NA,NA,NA,NA,22.638,92.535,NA,13.197
"194","Switzerland","1976",NA,NA,NA,NA,NA,NA,22.199,91.803,NA,13.889
"195","Switzerland","1977",NA,NA,NA,NA,NA,NA,21.718,83.261,NA,15.755
"196","Switzerland","1978",NA,NA,NA,NA,NA,NA,21.18,84.201,92.599,16.411
"197","Switzerland","1979",NA,NA,NA,NA,NA,NA,20.599,83.204,93.693,17.211
"198","Switzerland","1980",4.36,NA,NA,NA,NA,NA,20.011,82.612,94.567,17.92
"199","Switzerland","1981",4.322,NA,NA,NA,NA,NA,19.498,82.509,94.938,18.557
"200","Switzerland","1982",4.39,NA,NA,NA,NA,NA,19.009,82.47,94.759,18.856
"201","Switzerland","1983",4.497,NA,NA,NA,NA,NA,18.561,81.898,94.724,18.845
"202","Switzerland","1984",4.353,15.725,NA,NA,NA,NA,18.16,81.443,95.152,19.43
"203","Switzerland","1985",4.299,15.653,NA,NA,NA,NA,17.807,81.266,95.012,21.097
"204","Switzerland","1986",4.336,15.865,NA,NA,NA,NA,17.605,81.623,94.624,21.65
"205","Switzerland","1987",4.291,15.585,NA,NA,NA,NA,17.392,82.786,94.333,22.685
"206","Switzerland","1988",4.357,16.293,NA,NA,NA,NA,17.2,84.664,94.538,23.383
"207","Switzerland","1989",4.267,15.949,NA,NA,NA,NA,17.074,87.195,94.909,24.002
"208","Switzerland","1990",4.523,17.326,NA,NA,NA,NA,17.04,89.664,95.889,25.605
"209","Switzerland","1991",4.681,17.317,NA,NA,NA,NA,17.071,90.985,97.008,26.857
"210","Switzerland","1992",NA,NA,NA,NA,NA,NA,17.197,91.262,98.418,28.133
"211","Switzerland","1993",5.092,16.318,NA,NA,NA,NA,17.379,95.607,99.492,29.225
"212","Switzerland","1994",5.055,15.689,NA,NA,NA,NA,17.543,94.555,101.672,30.465
"213","Switzerland","1995",5.059,15.477,NA,NA,NA,NA,17.643,96.06,101.558,31.339
"214","Switzerland","1996",5.072,15.445,NA,NA,NA,NA,17.717,98.106,101.115,32.397
"215","Switzerland","1997",NA,NA,NA,NA,NA,NA,17.719,NA,NA,NA
"216","Switzerland","1998",4.887,14.702,21.627,26.041,46.309,NA,17.656,105.413,95.879,35.29
"217","Switzerland","1999",4.89,14.467,21.011,25.293,49.835,NA,17.559,105.88,95.852,36.994
"218","Switzerland","2000",4.781,14.641,20.047,24.661,48.812,NA,17.444,106.69,95.629,37.779
"219","Switzerland","2001",4.96,15.428,21.013,25.291,50.726,NA,17.245,105.619,95.333,39.772
"220","Switzerland","2002",5.314,15.312,22.383,26.887,55.139,NA,17.032,104.627,93.708,40.947
"221","Switzerland","2003",5.524,16.335,22.688,26.607,59.043,NA,16.802,104.018,93.782,44.04
"222","Switzerland","2004",5.446,16.222,22.704,25.464,57.385,NA,16.552,103.339,94.417,45.601
"223","Switzerland","2005",5.204,15.821,21.917,25.362,50.313,NA,16.289,102.307,95.453,45.804
"224","Switzerland","2006",4.962,15.97,20.995,23.843,48.169,NA,16.017,101.987,96.027,46.538
"225","Switzerland","2007",4.687,15.675,20.363,22.807,42.271,NA,15.748,102.108,95.911,47.243
"226","Switzerland","2008",4.868,16.01,18.638,28.202,39.803,NA,15.492,102.541,95.886,48.833
"227","Switzerland","2009",5.041,15.644,21.829,26.925,42.038,NA,15.259,102.834,95.601,50.148
"228","Switzerland","2010",4.926,15.391,21.891,26.286,39.233,NA,15.058,102.85,96.11,52.938
"229","Switzerland","2011",4.97,15.553,23.324,25.891,39.669,NA,14.958,103.114,96.419,54.485
"230","Switzerland","2012",5.033,15.644,26.956,25.978,41.631,NA,14.868,103.154,96.481,55.52
"231","Switzerland","2013",5.04,15.209,26.875,26.418,40.549,NA,14.808,103.602,98.891,56.27
"232","Switzerland","2014",5.051,15.462,26.416,26.39,40.98,NA,14.786,103.487,NA,57.23
"233","Switzerland","2015",5.101,15.528,24.568,24.455,37.679,NA,14.793,104.184,101.474,57.707
"234","Switzerland","2016",5.113,15.527,24.789,NA,37.405,NA,14.833,104.629,102.565,58.047
"235","Switzerland","2017",NA,NA,NA,NA,NA,NA,14.872,105.191,102.487,59.563
"236","Switzerland","2018",NA,NA,NA,NA,NA,NA,14.911,NA,NA,NA
