"","Country","Year","Total.Gov.Education.Invest.Percent.of.GDP","Total.Gov.Exp.Percent.of.TotalExpenses","Expenditure.Per.Primary.Student","Expenditure.Per.Secondary.Student","Expenditure.Per.Tertiary.Student","Literacy.Rate.Adults","Popul.Between.0.and.14","School.Enrollment.Primary","School.Enrollment.Secondary","School.Enrollment.Tertiary"
"480","United Kingdom","1967",NA,NA,NA,NA,NA,NA,23.72,NA,NA,NA
"481","United Kingdom","1968",NA,NA,NA,NA,NA,NA,23.91,NA,NA,NA
"482","United Kingdom","1969",NA,NA,NA,NA,NA,NA,24.067,NA,NA,NA
"483","United Kingdom","1970",NA,NA,NA,NA,NA,NA,24.166,NA,NA,NA
"484","United Kingdom","1971",5.032,NA,NA,NA,NA,NA,24.158,104.026,76.493,14.58
"485","United Kingdom","1972",5.159,NA,NA,NA,NA,NA,24.115,103.364,76.995,15.438
"486","United Kingdom","1973",5.449,NA,NA,NA,NA,NA,24.009,102.612,77.372,16.066
"487","United Kingdom","1974",5.391,NA,NA,NA,NA,NA,23.806,102.686,81.985,16.72
"488","United Kingdom","1975",6.269,NA,NA,NA,NA,NA,23.499,102.879,82.169,18.545
"489","United Kingdom","1976",6.424,NA,NA,NA,NA,NA,23.103,103.339,82.438,19.18
"490","United Kingdom","1977",6.063,NA,NA,NA,NA,NA,22.637,103.769,82.395,19.325
"491","United Kingdom","1978",NA,NA,NA,NA,NA,NA,22.11,103.902,81.772,19.126
"492","United Kingdom","1979",NA,NA,NA,NA,NA,NA,21.559,104.121,81.381,19.164
"493","United Kingdom","1980",5.07,NA,NA,NA,NA,NA,21.022,104.304,80.772,18.85
"494","United Kingdom","1981",5.288,12.644,NA,NA,NA,NA,20.548,103.934,80.957,18.885
"495","United Kingdom","1982",5.189,11.602,NA,NA,NA,NA,20.119,103.034,81.968,18.961
"496","United Kingdom","1983",5.062,11.408,NA,NA,NA,NA,19.743,101.825,83.223,21.058
"497","United Kingdom","1984",4.899,11.206,NA,NA,NA,NA,19.421,102.499,83.457,21.073
"498","United Kingdom","1985",4.594,10.459,NA,NA,NA,NA,19.153,102.749,83.592,20.998
"499","United Kingdom","1986",4.381,10.216,NA,NA,NA,NA,19.05,105.084,83.986,21.518
"500","United Kingdom","1987",4.372,10.507,NA,NA,NA,NA,18.957,106.744,83.691,22.543
"501","United Kingdom","1988",4.268,10.787,NA,NA,NA,NA,18.9,107.736,83.316,23.313
"502","United Kingdom","1989",4.125,11.137,NA,NA,NA,NA,18.903,107.405,83.393,24.4
"503","United Kingdom","1990",4.056,11.166,NA,NA,NA,NA,18.966,106.831,84.366,26.482
"504","United Kingdom","1991",4.122,10.911,NA,NA,NA,NA,19.02,105.48,87.557,29.182
"505","United Kingdom","1992",4.334,11.194,NA,NA,NA,NA,19.13,104.172,91.078,33.231
"506","United Kingdom","1993",NA,NA,NA,NA,NA,NA,19.27,NA,101.009,37.986
"507","United Kingdom","1994",4.851,11.889,NA,NA,NA,NA,19.391,NA,102.698,42.815
"508","United Kingdom","1995",4.839,11.969,NA,NA,NA,NA,19.463,NA,103.101,48.258
"509","United Kingdom","1996",4.408,11.756,NA,NA,NA,NA,19.451,NA,102.002,50.084
"510","United Kingdom","1997",NA,NA,NA,NA,NA,NA,19.394,NA,99.821,53.288
"511","United Kingdom","1998",4.23,12.22,12.499,22.676,27.926,NA,19.297,100.797,98.942,55.544
"512","United Kingdom","1999",4.025,11.75,12.345,21.138,22.755,NA,19.174,100.669,101.162,60.112
"513","United Kingdom","2000",4.072,12.02,12.748,21.91,20.706,NA,19.032,100.359,101.896,58.474
"514","United Kingdom","2001",4.144,12.259,13.269,21.947,20.348,NA,18.845,100.23,101.787,59.268
"515","United Kingdom","2002",4.692,13.515,14.451,23.7,25.552,NA,18.627,99.823,102.743,62.568
"516","United Kingdom","2003",4.848,13.601,16.34,25.077,24.862,NA,18.394,99.993,102.099,62.069
"517","United Kingdom","2004",4.773,12.938,15.918,23.862,24.439,NA,18.172,105.935,104.689,59.351
"518","United Kingdom","2005",4.977,13.174,17.047,23.523,29.095,NA,17.978,106.386,105.422,58.966
"519","United Kingdom","2006",5.021,13.136,19.767,24.517,26.095,NA,17.828,105.069,98.244,59.032
"520","United Kingdom","2007",4.953,13.033,20.947,25.603,22.177,NA,17.719,103.241,97.194,58.495
"521","United Kingdom","2008",4.936,12.955,20.813,24.69,20.41,NA,17.641,105.062,98.34,56.644
"522","United Kingdom","2009",5.131,12.615,22.344,28.567,18.867,NA,17.571,104.26,100.17,57.901
"523","United Kingdom","2010",5.77,13.026,24.453,31.349,23.764,NA,17.495,104.555,102.905,58.923
"524","United Kingdom","2011",5.646,12.697,24.674,29.454,31.421,NA,17.551,104.426,93.766,59.146
"525","United Kingdom","2012",NA,NA,NA,NA,NA,NA,17.553,106.246,91.553,59.402
"526","United Kingdom","2013",5.588,12.916,23.147,22.605,40.207,NA,17.534,107.112,123.776,57.039
"527","United Kingdom","2014",5.665,13.668,23.578,22.876,41.203,NA,17.532,102.255,126.39,56.565
"528","United Kingdom","2015",5.609,13.837,24.979,23.057,35.351,NA,17.556,101.925,124.524,56.458
"529","United Kingdom","2016",5.487,13.831,24.173,21.187,37.99,NA,17.59,101.335,NA,58.426
"530","United Kingdom","2017",NA,NA,NA,NA,NA,NA,17.635,101.155,125.852,59.996
"531","United Kingdom","2018",NA,NA,NA,NA,NA,NA,17.678,NA,NA,NA
"532","Indonesia","1960",NA,NA,NA,NA,NA,NA,39.941,NA,NA,NA
"533","Indonesia","1961",NA,NA,NA,NA,NA,NA,40.482,NA,NA,NA
"534","Indonesia","1962",NA,NA,NA,NA,NA,NA,40.98,NA,NA,NA
"535","Indonesia","1963",NA,NA,NA,NA,NA,NA,41.441,NA,NA,NA
"536","Indonesia","1964",NA,NA,NA,NA,NA,NA,41.857,NA,NA,NA
"537","Indonesia","1965",NA,NA,NA,NA,NA,NA,42.218,NA,NA,NA
"538","Indonesia","1966",NA,NA,NA,NA,NA,NA,42.567,NA,NA,NA
"539","Indonesia","1967",NA,NA,NA,NA,NA,NA,42.868,NA,NA,NA
"540","Indonesia","1968",NA,NA,NA,NA,NA,NA,43.096,NA,NA,NA
"541","Indonesia","1969",NA,NA,NA,NA,NA,NA,43.221,NA,NA,NA
"542","Indonesia","1970",NA,NA,NA,NA,NA,NA,43.238,83.68,18.217,2.851
"543","Indonesia","1971",NA,NA,NA,NA,NA,NA,43.286,84.849,18.581,NA
"544","Indonesia","1972",2.788,NA,NA,NA,NA,NA,43.209,85.825,18.674,2.739
"545","Indonesia","1973",NA,NA,NA,NA,NA,NA,43.037,86.107,19.001,2.662
"546","Indonesia","1974",NA,NA,NA,NA,NA,NA,42.812,85.024,19.58,2.575
"547","Indonesia","1975",NA,NA,NA,NA,NA,NA,42.559,87.14,21.077,2.577
"548","Indonesia","1976",NA,NA,NA,NA,NA,NA,42.341,89.808,21.848,2.609
"549","Indonesia","1977",NA,NA,NA,NA,NA,NA,42.086,92.302,22.591,2.303
"550","Indonesia","1978",NA,NA,NA,NA,NA,NA,41.794,100.404,24.028,2.432
"551","Indonesia","1979",NA,NA,NA,NA,NA,NA,41.463,NA,NA,2.328
"552","Indonesia","1980",NA,NA,NA,NA,NA,67.313,41.095,NA,NA,3.346
"553","Indonesia","1981",NA,NA,NA,NA,NA,NA,40.758,109.965,28.356,3.828
"554","Indonesia","1982",NA,NA,NA,NA,NA,NA,40.388,114.472,30.535,3.861
"555","Indonesia","1983",NA,NA,NA,NA,NA,NA,39.985,116.704,34.048,4.087
"556","Indonesia","1984",NA,NA,NA,NA,NA,NA,39.543,119.569,34.301,5.365
"557","Indonesia","1985",NA,NA,NA,NA,NA,NA,39.061,121.164,NA,6.149
"558","Indonesia","1986",NA,NA,NA,NA,NA,NA,38.623,119.598,41.899,6.4
"559","Indonesia","1987",NA,NA,NA,NA,NA,NA,38.12,118.101,47.394,7.594
"560","Indonesia","1988",NA,NA,NA,NA,NA,NA,37.573,117.154,49.35,6.868
"561","Indonesia","1989",0.871,NA,NA,NA,NA,NA,37.011,116.314,49.193,7.935
"562","Indonesia","1990",NA,NA,NA,NA,NA,81.52,36.451,114.341,46.59,8.379
"563","Indonesia","1991",NA,NA,NA,NA,NA,NA,35.888,112.621,44.815,8.617
"564","Indonesia","1992",NA,NA,NA,NA,NA,NA,35.354,110.887,44.067,9.432
"565","Indonesia","1993",NA,NA,NA,NA,NA,NA,34.828,110.242,43.729,9.396
"566","Indonesia","1994",0.999,5.864,NA,NA,NA,NA,34.272,110.964,44.751,10.536
"567","Indonesia","1995",1.004,6.146,NA,NA,NA,NA,33.672,110.483,47.579,11.334
"568","Indonesia","1996",1.079,7.497,NA,NA,NA,NA,33.109,109.965,50.347,11.543
"569","Indonesia","1997",1.072,7.71,NA,NA,24.05,NA,32.495,109.901,54.083,13.383
"570","Indonesia","1998",NA,NA,NA,NA,NA,NA,31.856,110.734,54.327,13.358
"571","Indonesia","1999",NA,NA,NA,NA,NA,NA,31.242,111.351,54.407,14.747
"572","Indonesia","2000",NA,NA,NA,NA,NA,NA,30.692,108.759,55.077,14.877
"573","Indonesia","2001",2.46,11.594,NA,NA,NA,NA,30.452,109.751,55.54,14.184
"574","Indonesia","2002",2.646,14.369,NA,NA,NA,NA,30.266,109.921,57.162,14.803
"575","Indonesia","2003",3.218,16.278,NA,NA,NA,NA,30.121,109.527,60.143,16.013
"576","Indonesia","2004",2.748,14.17,NA,NA,NA,90.385,29.997,108.934,61.867,16.595
"577","Indonesia","2005",2.873,15.149,NA,NA,NA,NA,29.881,107.955,60.154,17.226
"578","Indonesia","2006",NA,NA,NA,NA,NA,91.982,29.521,106.268,62.641,17.28
"579","Indonesia","2007",3.044,14.944,11.517,9.514,23.77,NA,29.245,109.306,70.541,17.795
"580","Indonesia","2008",2.902,13.675,11.394,9.452,17.023,92.192,29.045,107.823,69.656,20.668
"581","Indonesia","2009",3.525,19.308,13.529,11.02,21.122,92.582,28.913,108.549,74.628,22.989
"582","Indonesia","2010",2.812,16.654,9.991,8.304,21.894,NA,28.828,109.15,76.426,24.076
"583","Indonesia","2011",3.189,18.006,NA,NA,NA,92.812,28.524,109.18,79.114,26.303
"584","Indonesia","2012",3.407,18.09,11.505,10.297,23.369,NA,28.275,109.273,80.452,30.429
"585","Indonesia","2013",3.359,17.604,11.939,9.874,21.622,NA,28.038,106.842,82.638,31.064
"586","Indonesia","2014",3.288,17.672,12.279,9.953,19.537,95.116,27.768,106.073,82.682,30.896
"587","Indonesia","2015",3.584,20.503,13.27,10.513,20.752,95.218,27.451,105.96,86.123,33.251
"588","Indonesia","2016",NA,NA,NA,NA,NA,95.377,27.233,105.61,84.952,35.437
"589","Indonesia","2017",NA,NA,NA,NA,NA,NA,26.915,105.911,87.059,36.444
"590","Indonesia","2018",NA,NA,NA,NA,NA,95.659,26.551,106.411,88.91,36.311
"591","India","1960",NA,NA,NA,NA,NA,NA,40.455,NA,NA,NA
"592","India","1961",NA,NA,NA,NA,NA,NA,40.722,NA,NA,NA
"593","India","1962",NA,NA,NA,NA,NA,NA,41.042,NA,NA,NA
"594","India","1963",NA,NA,NA,NA,NA,NA,41.348,NA,NA,NA
"595","India","1964",NA,NA,NA,NA,NA,NA,41.537,NA,NA,NA
"596","India","1965",NA,NA,NA,NA,NA,NA,41.569,NA,NA,NA
"597","India","1966",NA,NA,NA,NA,NA,NA,41.653,NA,NA,NA
"598","India","1967",NA,NA,NA,NA,NA,NA,41.567,NA,NA,NA
"599","India","1968",NA,NA,NA,NA,NA,NA,41.365,NA,NA,NA
"600","India","1969",NA,NA,NA,NA,NA,NA,41.132,NA,NA,NA
"601","India","1970",NA,NA,NA,NA,NA,NA,40.914,NA,NA,NA
"602","India","1971",NA,NA,NA,NA,NA,NA,40.79,78.514,23.84,4.925
"603","India","1972",NA,NA,NA,NA,NA,NA,40.65,79.253,24.321,NA
"604","India","1973",NA,NA,NA,NA,NA,NA,40.494,82.367,24.805,4.983
"605","India","1974",NA,NA,NA,NA,NA,NA,40.305,81.77,NA,NA
"606","India","1975",NA,NA,NA,NA,NA,NA,40.078,82.642,25.527,NA
"607","India","1976",NA,NA,NA,NA,NA,NA,39.982,82.494,25.692,4.967
"608","India","1977",NA,NA,NA,NA,NA,NA,39.825,85.098,26.272,4.831
"609","India","1978",NA,NA,NA,NA,NA,NA,39.632,81.305,26.658,4.984
"610","India","1979",NA,NA,NA,NA,NA,NA,39.434,81.081,NA,4.959
"611","India","1980",NA,NA,NA,NA,NA,NA,39.248,82.444,28.864,4.964
"612","India","1981",NA,NA,NA,NA,NA,40.764,39.174,84.012,30.324,5.247
"613","India","1982",NA,NA,NA,NA,NA,NA,39.103,84.659,31.847,4.94
"614","India","1983",NA,NA,NA,NA,NA,NA,39.023,86.57,33.85,5.555
"615","India","1984",NA,NA,NA,NA,NA,NA,38.91,88.148,35.24,5.857
"616","India","1985",NA,NA,NA,NA,NA,NA,38.752,87.948,NA,5.829
"617","India","1986",NA,NA,NA,NA,NA,NA,38.71,90.075,37.345,5.987
"618","India","1987",NA,NA,NA,NA,NA,NA,38.584,87.898,36.96,6.331
"619","India","1988",NA,NA,NA,NA,NA,NA,38.401,89.191,37.04,5.534
"620","India","1989",NA,NA,NA,NA,NA,NA,38.191,92.142,37.202,5.75
"621","India","1990",NA,NA,NA,NA,NA,NA,37.966,91.44,NA,5.947
"622","India","1991",NA,NA,NA,NA,NA,48.222,37.766,91.146,NA,6.03
"623","India","1992",NA,NA,NA,NA,NA,NA,37.543,91.428,NA,NA
"624","India","1993",NA,NA,NA,NA,NA,NA,37.29,93.119,45.343,NA
"625","India","1994",NA,NA,NA,NA,NA,NA,36.993,94.241,45.653,NA
"626","India","1995",NA,NA,NA,NA,NA,NA,36.65,93.971,45.351,5.537
"627","India","1996",NA,NA,NA,NA,NA,NA,36.327,93.849,45.28,6.269
"628","India","1997",3.361,13.322,NA,NA,NA,NA,35.965,93.49,45.83,6.546
"629","India","1998",3.573,14.159,NA,NA,NA,NA,35.572,91.877,NA,NA
"630","India","1999",4.415,16.96,12.144,25.276,NA,NA,35.156,92.563,43.035,NA
"631","India","2000",4.325,16.731,14.79,25.253,96.554,NA,34.726,94.271,44.872,9.509
"632","India","2001",NA,NA,13.685,23.869,NA,61.015,34.36,94.115,45.152,9.694
"633","India","2002",NA,NA,NA,NA,NA,NA,33.968,94.746,47.073,10.176
"634","India","2003",3.613,12.411,11.314,20.244,70.033,NA,33.56,102.683,49.625,10.625
"635","India","2004",3.353,11.197,NA,18.281,62.719,NA,33.149,NA,51.372,10.933
"636","India","2005",3.189,11.208,NA,17.215,59.624,NA,32.739,NA,53.969,10.68
"637","India","2006",3.143,11.694,NA,16.696,56.749,62.754,32.375,NA,54.883,11.486
"638","India","2007",NA,NA,NA,NA,NA,NA,32.01,110.02,57.276,13.127
"639","India","2008",NA,NA,NA,NA,NA,NA,31.638,110.697,60.356,15.047
"640","India","2009",3.278,11.191,7.568,13.553,77.325,NA,31.241,109.451,59.614,16.031
"641","India","2010",3.378,11.834,7.469,14.086,71.34,NA,30.81,109.101,63.116,17.834
"642","India","2011",3.796,13.565,9.006,15.188,60.81,69.303,30.396,108.323,66.251,22.765
"643","India","2012",3.868,13.992,9.385,15.681,54.313,NA,29.929,109.761,69.013,24.268
"644","India","2013",3.845,14.05,9.771,16.818,49.167,NA,29.428,110.583,68.759,23.795
"645","India","2014",NA,NA,NA,NA,NA,NA,28.925,107.864,74.142,25.432
"646","India","2015",NA,NA,NA,NA,NA,NA,28.441,108.485,73.866,26.769
"647","India","2016",NA,NA,NA,NA,NA,NA,27.932,114.538,75.092,26.829
"648","India","2017",NA,NA,NA,NA,NA,NA,27.479,112.958,73.477,27.442
"649","India","2018",NA,NA,NA,NA,NA,74.373,27.053,NA,NA,28.061
"650","Italy","1960",NA,NA,NA,NA,NA,NA,25.073,NA,NA,NA
"651","Italy","1961",NA,NA,NA,NA,NA,NA,25.016,NA,NA,NA
"652","Italy","1962",NA,NA,NA,NA,NA,NA,24.893,NA,NA,NA
"653","Italy","1963",NA,NA,NA,NA,NA,NA,24.741,NA,NA,NA
"654","Italy","1964",NA,NA,NA,NA,NA,NA,24.628,NA,NA,NA
"655","Italy","1965",NA,NA,NA,NA,NA,NA,24.577,NA,NA,NA
"656","Italy","1966",NA,NA,NA,NA,NA,NA,24.599,NA,NA,NA
"657","Italy","1967",NA,NA,NA,NA,NA,NA,24.611,NA,NA,NA
"658","Italy","1968",NA,NA,NA,NA,NA,NA,24.622,NA,NA,NA
"659","Italy","1969",NA,NA,NA,NA,NA,NA,24.636,NA,NA,NA
"660","Italy","1970",3.378,NA,NA,NA,NA,NA,24.651,NA,NA,NA
"661","Italy","1971",2.908,NA,NA,NA,NA,NA,24.588,108.581,59.888,16.869
"662","Italy","1972",NA,NA,NA,NA,NA,NA,24.552,108.358,62.236,19.515
"663","Italy","1973",NA,NA,NA,NA,NA,NA,24.503,108.312,64.666,20.352
"664","Italy","1974",3.848,NA,NA,NA,NA,NA,24.38,107.937,66.505,21.662
"665","Italy","1975",3.724,NA,NA,NA,NA,NA,24.15,107.48,67.302,23.964
"666","Italy","1976",3.932,NA,NA,NA,NA,NA,23.898,106.294,70.241,25.178
"667","Italy","1977",NA,NA,NA,NA,NA,NA,23.515,104.759,71.811,26.176
"668","Italy","1978",3.793,NA,NA,NA,NA,NA,23.032,103.533,72.699,26.682
"669","Italy","1979",4.178,NA,NA,NA,NA,NA,22.507,102.433,72.635,27.218
"670","Italy","1980",NA,NA,NA,NA,NA,NA,21.975,102.238,72.366,26.894
"671","Italy","1981",NA,NA,NA,NA,NA,96.461,21.402,101.841,72.173,26.78
"672","Italy","1982",NA,NA,NA,NA,NA,NA,20.847,101.579,72.045,NA
"673","Italy","1983",4.503,NA,NA,NA,NA,NA,20.297,101.006,72.571,24.737
"674","Italy","1984",4.79,NA,NA,NA,NA,NA,19.728,100.766,73.072,24.843
"675","Italy","1985",4.705,NA,NA,NA,NA,NA,19.134,100.683,73.829,25.794
"676","Italy","1986",4.67,NA,NA,NA,NA,NA,18.584,99.725,74.946,25.608
"677","Italy","1987",NA,NA,NA,NA,NA,NA,18.02,98.811,76.165,24.838
"678","Italy","1988",4.608,NA,NA,NA,NA,NA,17.463,98.556,77.373,26.484
"679","Italy","1989",NA,NA,NA,NA,NA,NA,16.942,98.204,78.536,28.065
"680","Italy","1990",NA,NA,NA,NA,NA,NA,16.475,98.328,80.301,29.539
"681","Italy","1991",NA,NA,NA,NA,NA,NA,16.101,98.436,81.031,31.764
"682","Italy","1992",NA,NA,NA,NA,NA,NA,15.768,99.336,82.289,33.805
"683","Italy","1993",4.75,8.717,NA,NA,NA,NA,15.48,100.011,83.436,35.985
"684","Italy","1994",4.448,8.24,NA,NA,NA,NA,15.227,98.411,87.456,40.062
"685","Italy","1995",4.333,8.595,NA,NA,NA,NA,15,98.043,88.64,41.479
"686","Italy","1996",4.46,9.116,NA,NA,NA,NA,14.821,99.168,89.548,42.338
"687","Italy","1997",NA,NA,NA,NA,NA,NA,14.661,100.068,90.32,46.852
"688","Italy","1998",4.463,9.239,22.205,26.46,22.142,NA,14.52,101.444,90.628,48.313
"689","Italy","1999",4.523,9.549,23.113,26.666,26.501,NA,14.405,104.539,92.057,48.555
"690","Italy","2000",4.299,9.223,22.282,25.617,25.585,NA,14.324,103.903,93.054,49.811
"691","Italy","2001",4.669,9.825,22.791,28.965,24.008,98.417,14.242,103.485,96.099,52.877
"692","Italy","2002",4.447,9.505,23.483,25.899,25.317,NA,14.2,102.833,98.145,55.552
"693","Italy","2003",4.555,9.641,24.099,27.125,22.401,NA,14.185,102.425,99.129,58.677
"694","Italy","2004",4.397,9.388,23.639,25.902,21.601,NA,14.179,102.063,99.018,62.243
"695","Italy","2005",4.249,9.014,21.849,25.413,21.075,NA,14.167,102.291,99.288,64.438
"696","Italy","2006",4.538,9.527,23.692,26.92,22.087,NA,14.182,103.109,100.053,66.108
"697","Italy","2007",4.119,8.802,21.408,23.826,20.922,NA,14.179,104.113,100.47,66.683
"698","Italy","2008",4.403,9.205,23.092,25.245,23.569,NA,14.158,104.274,101.101,66.344
"699","Italy","2009",4.536,8.867,23.943,25.257,24.346,NA,14.124,103.486,101.417,66.55
"700","Italy","2010",4.352,8.724,22.835,23.943,24.445,NA,14.079,102.994,102.904,65.774
"701","Italy","2011",4.144,8.392,21.519,22.57,24.206,98.848,14.065,102.504,103.332,65.563
"702","Italy","2012",4.084,8.041,20.412,22.537,24.535,NA,14.018,101.292,102.033,64.134
"703","Italy","2013",4.165,8.156,21.388,22.908,26.273,NA,13.941,101.897,102.409,62.296
"704","Italy","2014",4.075,8.006,21.208,22.221,26.272,NA,13.84,101.151,102.281,61.703
"705","Italy","2015",4.082,8.12,21.734,22.905,25.266,NA,13.715,100.387,102.256,60.939
"706","Italy","2016",3.829,7.809,19.523,NA,24.328,NA,13.605,99.425,101.662,60.937
"707","Italy","2017",NA,NA,NA,NA,NA,NA,13.475,101.879,101.27,61.933
